114973,0.784314,0.111111, x val = 133, y val = 124
114988,0.784314,0.111111, x val = 133, y val = 124
115003,0.803922,0.111111, x val = 134, y val = 124
115018,0.803922,0.111111, x val = 134, y val = 124
115034,0.803922,0.111111, x val = 134, y val = 124
115049,0.823529,0.111111, x val = 135, y val = 124
115065,0.823529,0.111111, x val = 135, y val = 124
115080,0.823529,0.111111, x val = 135, y val = 124
115095,0.823529,0.111111, x val = 135, y val = 124
115111,0.823529,0.111111, x val = 135, y val = 124
115126,0.843137,0.111111, x val = 136, y val = 124
115141,0.843137,0.111111, x val = 136, y val = 124
115157,0.843137,0.111111, x val = 136, y val = 124
115172,0.843137,0.111111, x val = 136, y val = 124
115187,0.843137,0.111111, x val = 136, y val = 124
115203,0.843137,0.111111, x val = 136, y val = 124
115218,0.843137,0.111111, x val = 136, y val = 124
115233,0.843137,0.111111, x val = 136, y val = 124
115249,0.843137,0.066667, x val = 136, y val = 123
115264,0.862745,0.066667, x val = 137, y val = 123
115279,0.862745,0.066667, x val = 137, y val = 123
115294,0.862745,0.066667, x val = 137, y val = 123
115309,0.862745,0.022222, x val = 137, y val = 122
115324,0.862745,0.022222, x val = 137, y val = 122
115340,0.862745,-0.066667, x val = 137, y val = 120
115356,0.862745,-0.111111, x val = 137, y val = 119
115372,0.862745,-0.155556, x val = 137, y val = 118
115388,0.862745,-0.200000, x val = 137, y val = 117
115404,0.862745,-0.200000, x val = 137, y val = 117
115420,0.862745,-0.244444, x val = 137, y val = 116
115436,0.882353,-0.288889, x val = 138, y val = 115
115452,0.882353,-0.288889, x val = 138, y val = 115
115468,0.882353,-0.333333, x val = 138, y val = 114
115484,0.882353,-0.377778, x val = 138, y val = 113
115500,0.882353,-0.377778, x val = 138, y val = 113
115516,0.882353,-0.377778, x val = 138, y val = 113
115532,0.882353,-0.422222, x val = 138, y val = 112
115548,0.882353,-0.422222, x val = 138, y val = 112
115564,0.882353,-0.422222, x val = 138, y val = 112
115580,0.882353,-0.422222, x val = 138, y val = 112
115596,0.882353,-0.422222, x val = 138, y val = 112
115612,0.882353,-0.422222, x val = 138, y val = 112
115628,0.882353,-0.422222, x val = 138, y val = 112
115644,0.882353,-0.422222, x val = 138, y val = 112
115660,0.882353,-0.422222, x val = 138, y val = 112
115676,0.882353,-0.422222, x val = 138, y val = 112
115692,0.882353,-0.422222, x val = 138, y val = 112
115708,0.882353,-0.422222, x val = 138, y val = 112
115724,0.882353,-0.422222, x val = 138, y val = 112
115740,0.882353,-0.422222, x val = 138, y val = 112
115756,0.882353,-0.422222, x val = 138, y val = 112
115772,0.882353,-0.422222, x val = 138, y val = 112
115788,0.882353,-0.422222, x val = 138, y val = 112
115804,0.882353,-0.422222, x val = 138, y val = 112
115820,0.882353,-0.422222, x val = 138, y val = 112
115836,0.882353,-0.422222, x val = 138, y val = 112
115852,0.862745,-0.422222, x val = 137, y val = 112
115868,0.862745,-0.422222, x val = 137, y val = 112
115884,0.862745,-0.422222, x val = 137, y val = 112
115900,0.862745,-0.422222, x val = 137, y val = 112
115916,0.862745,-0.422222, x val = 137, y val = 112
115932,0.862745,-0.422222, x val = 137, y val = 112
115948,0.862745,-0.422222, x val = 137, y val = 112
115964,0.862745,-0.466667, x val = 137, y val = 111
115980,0.843137,-0.511111, x val = 136, y val = 110
115996,0.843137,-0.555556, x val = 136, y val = 109
116012,0.823529,-0.600000, x val = 135, y val = 108
116028,0.823529,-0.644444, x val = 135, y val = 107
116044,0.823529,-0.644444, x val = 135, y val = 107
116060,0.803922,-0.688889, x val = 134, y val = 106
116076,0.784314,-0.733333, x val = 133, y val = 105
116092,0.784314,-0.733333, x val = 133, y val = 105
116108,0.784314,-0.733333, x val = 133, y val = 105
116124,0.784314,-0.777778, x val = 133, y val = 104
116140,0.784314,-0.777778, x val = 133, y val = 104
116156,0.784314,-0.777778, x val = 133, y val = 104
116172,0.784314,-0.777778, x val = 133, y val = 104
116188,0.784314,-0.777778, x val = 133, y val = 104
116204,0.784314,-0.777778, x val = 133, y val = 104
116220,0.784314,-0.822222, x val = 133, y val = 103
116236,0.784314,-0.822222, x val = 133, y val = 103
116252,0.784314,-0.822222, x val = 133, y val = 103
116268,0.784314,-0.822222, x val = 133, y val = 103
116284,0.784314,-0.822222, x val = 133, y val = 103
116300,0.784314,-0.866667, x val = 133, y val = 102
116316,0.784314,-0.866667, x val = 133, y val = 102
116332,0.784314,-0.866667, x val = 133, y val = 102
116348,0.784314,-0.866667, x val = 133, y val = 102
116364,0.784314,-0.866667, x val = 133, y val = 102
116380,0.784314,-0.911111, x val = 133, y val = 101
116396,0.784314,-0.911111, x val = 133, y val = 101
116412,0.784314,-0.911111, x val = 133, y val = 101
116428,0.784314,-0.911111, x val = 133, y val = 101
116444,0.784314,-0.911111, x val = 133, y val = 101
116460,0.784314,-0.955556, x val = 133, y val = 100
116476,0.784314,-0.955556, x val = 133, y val = 100
116492,0.784314,-0.955556, x val = 133, y val = 100
116508,0.784314,-0.955556, x val = 133, y val = 100
116524,0.784314,-1.000000, x val = 133, y val = 99
116539,0.784314,-1.000000, x val = 133, y val = 99
116554,0.784314,-1.000000, x val = 133, y val = 99
116569,0.784314,-1.000000, x val = 133, y val = 99
116584,0.784314,-1.000000, x val = 133, y val = 99
116599,0.784314,-1.000000, x val = 133, y val = 99
116614,0.784314,-1.000000, x val = 133, y val = 99
116629,0.784314,-1.000000, x val = 133, y val = 99
116644,0.784314,-1.000000, x val = 133, y val = 99
116659,0.784314,-1.000000, x val = 133, y val = 99
116674,0.784314,-1.000000, x val = 133, y val = 98
116689,0.784314,-1.000000, x val = 133, y val = 98
116704,0.784314,-1.000000, x val = 133, y val = 98
116719,0.784314,-1.000000, x val = 133, y val = 98
116734,0.784314,-1.000000, x val = 133, y val = 98
116749,0.784314,-1.000000, x val = 133, y val = 98
116764,0.784314,-1.000000, x val = 133, y val = 98
