al = 114
97903,-0.660000,0.095238, x val = 61, y val = 125
97918,-0.660000,0.095238, x val = 61, y val = 125
97933,-0.660000,0.095238, x val = 61, y val = 125
97948,-0.660000,0.095238, x val = 61, y val = 125
97963,-0.660000,0.095238, x val = 61, y val = 125
97978,-0.660000,0.095238, x val = 61, y val = 125
97993,-0.660000,0.095238, x val = 61, y val = 125
98008,-0.660000,0.095238, x val = 61, y val = 125
98023,-0.640000,0.095238, x val = 62, y val = 125
98038,-0.640000,0.095238, x val = 62, y val = 125
98053,-0.620000,0.095238, x val = 63, y val = 125
98068,0.680000,0.095238, x val = 128, y val = 125
98083,0.680000,0.095238, x val = 128, y val = 125
98098,0.700000,0.095238, x val = 129, y val = 125
98113,0.720000,0.095238, x val = 130, y val = 125
98128,0.720000,0.095238, x val = 130, y val = 125
98143,0.740000,0.095238, x val = 131, y val = 125
98158,0.740000,0.095238, x val = 131, y val = 125
98173,0.740000,0.095238, x val = 131, y val = 125
98188,0.740000,0.095238, x val = 131, y val = 125
98203,0.740000,0.095238, x val = 131, y val = 125
98218,0.740000,0.095238, x val = 131, y val = 125
98233,0.760000,0.095238, x val = 132, y val = 125
98248,0.760000,0.095238, x val = 132, y val = 125
98263,0.780000,0.095238, x val = 133, y val = 125
98278,0.780000,0.095238, x val = 133, y val = 125
98293,0.800000,0.095238, x val = 134, y val = 125
98308,0.800000,0.095238, x val = 134, y val = 125
98323,0.800000,0.095238, x val = 134, y val = 125
98338,0.820000,0.095238, x val = 135, y val = 125
98353,0.820000,0.095238, x val = 135, y val = 125
98368,0.820000,0.095238, x val = 135, y val = 125
98383,0.820000,0.095238, x val = 135, y val = 125
98398,0.820000,0.095238, x val = 135, y val = 125
98413,0.820000,0.095238, x val = 135, y val = 125
98428,0.820000,0.095238, x val = 135, y val = 125
98443,0.840000,0.095238, x val = 136, y val = 125
98458,0.840000,0.095238, x val = 136, y val = 125
98473,0.840000,0.095238, x val = 136, y val = 125
98488,0.840000,0.095238, x val = 136, y val = 125
98503,0.840000,0.095238, x val = 136, y val = 125
98518,0.840000,0.095238, x val = 136, y val = 125
98533,0.840000,0.095238, x val = 136, y val = 125
98548,0.840000,0.095238, x val = 136, y val = 125
98563,0.860000,0.095238, x val = 137, y val = 125
98578,0.860000,0.095238, x val = 137, y val = 125
98593,0.860000,0.095238, x val = 137, y val = 125
98608,0.860000,0.095238, x val = 137, y val = 125
98623,0.860000,0.047619, x val = 137, y val = 124
98638,0.860000,0.047619, x val = 137, y val = 124
98653,0.860000,0.047619, x val = 137, y val = 124
98668,0.860000,0.047619, x val = 137, y val = 124
98683,0.860000,0.000000, x val = 137, y val = 123
98698,0.860000,-0.047619, x val = 137, y val = 122
98713,0.860000,-0.095238, x val = 137, y val = 121
98728,0.860000,-0.095238, x val = 137, y val = 121
98743,0.860000,-0.142857, x val = 137, y val = 120
98758,0.880000,-0.142857, x val = 138, y val = 120
98774,0.880000,-0.142857, x val = 138, y val = 120
98789,0.880000,-0.142857, x val = 138, y val = 120
98804,0.880000,-0.190476, x val = 138, y val = 119
98819,0.880000,-0.190476, x val = 138, y val = 119
98835,0.880000,-0.190476, x val = 138, y val = 119
98850,0.880000,-0.190476, x val = 138, y val = 119
98865,0.880000,-0.190476, x val = 138, y val = 119
98880,0.880000,-0.190476, x val = 138, y val = 119
98895,0.880000,-0.190476, x val = 138, y val = 119
98910,0.880000,-0.238095, x val = 138, y val = 118
98926,0.880000,-0.238095, x val = 138, y val = 118
98941,0.880000,-0.285714, x val = 138, y val = 117
98957,0.900000,-0.285714, x val = 139, y val = 117
98972,0.900000,-0.333333, x val = 139, y val = 116
98987,0.900000,-0.333333, x val = 139, y val = 116
99003,0.900000,-0.333333, x val = 139, y val = 116
99018,0.900000,-0.380952, x val = 139, y val = 115
99033,0.900000,-0.380952, x val = 139, y val = 115
99048,0.900000,-0.428571, x val = 139, y val = 114
99063,0.900000,-0.428571, x val = 139, y val = 114
99078,0.900000,-0.428571, x val = 139, y val = 114
99094,0.900000,-0.428571, x val = 139, y val = 114
99109,0.900000,-0.428571, x val = 139, y val = 114
99124,0.900000,-0.428571, x val = 139, y val = 114
99140,0.900000,-0.428571, x val = 139, y val = 114
99155,0.900000,-0.428571, x val = 139, y val = 114
99170,0.900000,-0.428571, x val = 139, y val = 114
99186,0.900000,-0.428571, x val = 139, y val = 114
99201,0.900000,-0.428571, x val = 139, y val = 114
99216,0.900000,-0.428571, x val = 139, y val = 114
99232,0.900000,-0.428571, x val = 139, y val = 114
99247,0.900000,-0.428571, x val = 139, y val = 114
99262,0.900000,-0.428571, x val = 139, y val = 114
99278,0.900000,-0.428571, x val = 139, y val = 114
99293,0.900000,-0.428571, x val = 139, y val = 114
99308,0.900000,-0.428571, x val = 139, y val = 114
99324,0.900000,-0.428571, x val = 139, y val = 114
99339,0.900000,-0.428571, x val = 139, y val = 114
99354,0.900000,-0.428571, x val = 139, y val = 114
99370,0.900000,-0.428571, x val = 139, y val = 114
99385,0.900000,-0.428571, x val = 139, y val = 114
